district,income
東區,1091000
南區,766000
北區,975000
安南區,760000
安平區,1078000
新營區,874000
鹽水區,709000
白河區,692000
柳營區,747000
後壁區,729000
東山區,680000
麻豆區,787000
下營區,731000
六甲區,730000
官田區,729000
大內區,642000
佳里區,774000
西港區,690000
七股區,641000
將軍區,641000
北門區,649000
學甲區,704000
新化區,740000
善化區,999000
新市區,818000
安定區,753000
山上區,676000
玉井區,700000
楠西區,653000
南化區,670000
左鎮區,660000
仁德區,791000
歸仁區,794000
關廟區,714000
龍崎區,662000
永康區,865000
