year,cumulative deficit,"Planned Purchase
",Guidance Purchase,Surplus Purchase
1990,595.12,19,16.5,
1991,664.09,19,16.5,
1992,740.87,19,16.5,
1993,813.41,19,16.5,
1994,908.8,21,16.5,
1995,939.94,21,18,
1996,942.1,21,18,
1997,935.64,21,18,
1998,971.02,21,18,16.6
1999,994.33,21,18,16.6
2000,"1,150.11",21,18,16.6
